#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-08-06T15:17:11 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ598732b534e4	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/525/A71&tab:{J/A+A/525/A71/table2}&key:source=J/A+A/525/A71/table2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/525/A71/table2
#-order=I
#-out=Name
#-out=SpType
#-out=Teff
#-out=e_Teff
#-out=log(g)
#-out=e_log(g)
#-out=[Fe/H]
#-out=e_[Fe/H]
#
#RESOURCE=yCat_35250071
#Name: J/A+A/525/A71
#Title: Atmospheric parameters for 1273 stars (Wu+, 2011)
#Table	J_A_A_525_A71_table2:
#Name: J/A+A/525/A71/table2
#Title: Physical parameters adopted by this work
#Column	Name	(a10)	Stellar identification	[ucd=meta.id;meta.main]
#Column	SpType	(a12)	MK Spectral type	[ucd=src.spType]
#Column	Teff	(I5)	? Effective temperature [NULL integer written as an empty string]	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Error of effective temperature (1) [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	log(g)	(F5.2)	? Log of the surface gravity	[ucd=phys.gravity]
#Column	e_log(g)	(F5.2)	? Error of the log of the surface gravity (1)	[ucd=stat.error]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F5.2)	? Error of metallicity (1)	[ucd=stat.error;phys.abund.Fe]
#| |K|K|[cm/s2]|[cm/s2]|[Sun]|[Sun]
#---------|------------|-----|----|-----|-----|-----|-----
Name|SpType|Teff|e_Teff|log(g)|e_log(g)|[Fe/H]|e_[Fe/H]
HD057651  |K5          | 3418|   6| 0.85| 0.12|-0.07| 0.05
HD057669  |K0IIIa      | 4658|  25| 1.88| 0.07| 0.13| 0.05
HD057727  |G8III       | 5067|  24| 3.00| 0.06|-0.09| 0.05
HD058207  |G9IIIb      | 4831|  22| 2.58| 0.06|-0.11| 0.05
HD058343  |B2Vne       |18173| 590| 3.66| 0.09| 0.01| 0.06
HD058526  |G3Ib        | 5515|  29| 1.19| 0.05| 0.00| 0.06
HD058551  |F6V         | 6220|  28| 4.23| 0.04|-0.50| 0.04
HD058855  |F6V         | 6310|  36| 4.18| 0.05|-0.29| 0.05
HD058946  |F0V         | 6991|  29| 4.11| 0.03|-0.25| 0.04
HD059380  |F8V         | 6326|  36| 4.22| 0.05|-0.15| 0.05
HD059881  |F0III       | 7538|  42| 3.57| 0.05| 0.16| 0.04
HD059984  |F5V         | 5934|  44| 4.01| 0.08|-0.72| 0.08
HD060179  |A1V         | 9340| 146| 3.79| 0.08|-0.06| 0.07
HD061064  |F6III       | 6625|  40| 3.64| 0.06| 0.26| 0.04
HD061295  |F6II        | 7079|  45| 3.66| 0.06| 0.32| 0.05
HD061935  |G9III       | 4841|  29| 2.61| 0.08|-0.04| 0.06
HD062301  |F8V         | 5940|  29| 4.16| 0.05|-0.65| 0.05
HD062509  |K0IIIb      | 4893|  23| 2.89| 0.06| 0.05| 0.05
HD063302  |K3Iab/Ib    | 4304|  34| 0.24| 0.08| 0.12| 0.07
HD063333  |F5          | 6157|  30| 4.22| 0.05|-0.36| 0.05
HD063352  |K0          | 4179|  17| 1.92| 0.10|-0.47| 0.06
HD063410  |G8III       | 4896|  25| 2.53| 0.07|-0.37| 0.06
HD063791  |G0          | 4838|  32| 1.90| 0.11|-1.59| 0.08
HD064238  |F2IV/V      | 7166|  44| 3.16| 0.07| 0.31| 0.05
HD064937  |K5          | 3495|   8| 0.82| 0.14|-0.05| 0.06
HD065583  |G8V         | 5315|  31| 4.51| 0.06|-0.67| 0.07
HD065714  |G8III:      | 4966|  27| 2.51| 0.07| 0.12| 0.06
HD065900  |A1V         | 9228| 142| 3.34| 0.11|-0.17| 0.11
HD067228  |G1IV        | 5810|  26| 3.92| 0.05| 0.14| 0.04
HD068988  |G0          | 5820|  41| 4.17| 0.08| 0.28| 0.06
HD069582  |G5          | 5692|  35| 4.52| 0.06| 0.13| 0.06
HD069830  |K0V         | 5444|  33| 4.52| 0.06| 0.02| 0.06
HD069897  |F6V         | 6261|  28| 4.19| 0.04|-0.28| 0.04
HD070110  |F9V         | 5909|  27| 3.95| 0.05| 0.09| 0.04
HD071369  |G5III       | 5215|  31| 2.52| 0.08|-0.13| 0.07
HD071479  |G0          | 5886|  38| 4.15| 0.07| 0.19| 0.06
HD071597  |K2III       | 4449|  19| 2.54| 0.08|-0.23| 0.05
HD071952  |K0IV        | 4734|  23| 3.13| 0.07|-0.15| 0.05
HD072184  |K2III       | 4678|  43| 3.02| 0.13| 0.19| 0.09
HD072324  |G9III       | 4885|  23| 2.48| 0.06|-0.02| 0.05
HD072660  |A1V         | 9226| 137| 3.30| 0.10|-0.14| 0.10
HD072946  |G5V         | 5624|  22| 4.19| 0.05|-0.03| 0.05
HD072968  |A1spe...    |10651| 281| 3.63| 0.24| 0.77| 0.14
HD073394  |G5IIIw      | 4511|  29| 1.19| 0.11|-1.61| 0.08
HD074280  |B3V         |17816| 202| 3.73| 0.06| 0.01| 0.04
HD074395  |G2Iab:      | 5481|  27| 1.44| 0.05| 0.04| 0.06
HD074462  |G5IV        | 4742|  43| 1.72| 0.15|-1.43| 0.11
HD074721  |A0V         | 8789|    | 3.34|     |-1.42|
HD075332  |F7Vn        | 6219|  34| 4.31| 0.05| 0.07| 0.04
HD075333  |B9mnp...    |11722| 149| 4.08| 0.05| 0.22| 0.07
HD075732  |G8V         | 5290|  27| 4.43| 0.05| 0.43| 0.04
HD075782  |G0          | 5912|  37| 3.87| 0.07| 0.19| 0.05
HD076151  |G2V         | 5793|  26| 4.47| 0.05| 0.13| 0.04
HD076219  |G8Iab:      | 5018|  29| 2.25| 0.07|-0.09| 0.07
HD076291  |K1IV        | 4583|  19| 2.77| 0.07|-0.10| 0.04
HD076294  |G9II-III    | 4917|  24| 2.46| 0.07|-0.11| 0.06
HD076351  |K5III       | 4186|  19| 1.63| 0.10| 0.09| 0.05
HD076376  |K2/K3III    | 4239|  17| 2.11| 0.09|-0.05| 0.05
HD076508  |K1III       | 4912|  27| 2.73| 0.07| 0.10| 0.06
HD076579  |K3III       | 4017|  13| 1.74| 0.11|-0.17| 0.05
HD076644  |A7V         | 7703|  48| 3.96| 0.05|-0.03| 0.06
HD076780  |G5          | 5765|  38| 4.38| 0.07| 0.18| 0.06
HD076813  |G9III       | 5074|  25| 2.71| 0.06|-0.09| 0.05
HD076932  |F7/F8IV/V   | 5843|  28| 4.08| 0.05|-0.90| 0.06
HD076943  |F5V         | 6511|  30| 4.19| 0.04| 0.14| 0.03
HD076944  |K5          | 3864|  21| 1.32| 0.23|-0.16| 0.09
HD077350  |A0III       |10037| 167| 3.35| 0.11|-0.20| 0.13
HD077601  |F6II-III    | 6578|  52| 3.14| 0.10| 0.42| 0.06
HD077818  |K1IV        | 4726|  23| 3.13| 0.07|-0.23| 0.05
HD077912  |G8Iab:      | 5015|  27| 1.75| 0.06|-0.05| 0.06
HD078209  |A1m         | 7508|  47| 3.77| 0.06| 0.54| 0.04
HD078249  |K1IV        | 4868|  25| 3.45| 0.06| 0.05| 0.05
HD078316  |B8IIImnp    |12460| 259| 4.21| 0.09| 0.51| 0.12
HD078362  |Am          | 7289|  50| 3.76| 0.07| 0.71| 0.04
HD078418  |G5IV-V      | 5741|  40| 4.22| 0.08| 0.08| 0.06
HD078479  |K3III       | 4486|  20| 2.60| 0.08| 0.22| 0.04
HD078558  |G3V         | 5700|  31| 4.20| 0.06|-0.45| 0.06
HD078712  |M6IIIase    | 3101|  17| 0.23| 0.36|-1.00| 0.00
HD079028  |F9V         | 5972|  76| 3.93| 0.15| 0.05| 0.11
HD079158  |B8IIImnp    |12305| 151| 4.11| 0.07| 0.73| 0.07
HD079452  |G6III       | 5029|  28| 2.43| 0.08|-0.77| 0.07
HD079469  |B9.5V       |10099| 145| 3.80| 0.08|-0.42| 0.09
HD080218  |F5          | 6180|  33| 4.16| 0.05|-0.26| 0.05
HD080493  |K7III       | 3899|   9| 1.63| 0.11|-0.11| 0.04
HD080499  |G8III       | 5065|  26| 2.48| 0.07|-0.13| 0.06
HD080586  |G8III-IV+...| 5084|  26| 2.87| 0.07| 0.01| 0.06
HD081146  |K2III       | 4394|  18| 2.44| 0.08|-0.05| 0.04
HD081192  |G7III       | 4822|  24| 2.69| 0.08|-0.70| 0.06
HD081797  |K3II-III    | 4176|  15| 1.67| 0.09| 0.06| 0.04
HD081937  |F0IV        | 7097|  37| 3.87| 0.05| 0.17| 0.05
HD082210  |G4III-IV    | 5343|  33| 3.49| 0.08|-0.21| 0.07
HD082328  |F6IV        | 6333|  28| 3.97| 0.04|-0.14| 0.04
HD082395  |K0III       | 4807|  22| 2.61| 0.07|-0.08| 0.05
HD082590  |F6w...      | 6564|  68| 4.16| 0.07|-0.86| 0.11
HD082621  |A2V         | 8851| 113| 3.80| 0.11|-0.41| 0.11
HD082635  |G8III       | 5100|  31| 2.93| 0.08|-0.04| 0.07
HD082741  |G9.5III     | 4856|  22| 2.51| 0.07|-0.21| 0.05
HD083506  |K0III       | 4951|  30| 2.45| 0.08| 0.15| 0.07
HD083618  |K2.5III     | 4270|  18| 1.96| 0.10|-0.12| 0.05
HD083787  |K6III       | 3818|   7| 1.45| 0.10|-0.21| 0.04
HD083805  |G8III       | 5047|  27| 2.76| 0.07| 0.02| 0.06
HD084441  |G1II        | 5392|  25| 2.11| 0.06|-0.08| 0.06
HD084453  |K0IV        | 4929|  23| 3.19| 0.06|-0.10| 0.05
HD084737  |G0.5Va      | 5860|  28| 4.02| 0.06| 0.10| 0.04
HD084748  |M8IIIe      | 3070|  35| 0.78| 0.93|-1.00| 0.00
HD085235  |A3IV        | 8662|  72| 3.71| 0.08|-0.23| 0.06
HD085444  |G6/G8III    | 5090|  26| 2.68| 0.07| 0.00| 0.06
HD085503  |K2III       | 4453|  19| 2.61| 0.08| 0.30| 0.04
HD086322  |K1III       | 4792|  25| 2.58| 0.08|-0.12| 0.06
HD086728  |G3Va        | 5745|  28| 4.27| 0.06| 0.23| 0.04
HD086986  |A1V         | 7863|    | 3.13|     |-1.83|
HD087140  |K0          | 5061|  41| 2.46| 0.13|-1.75| 0.09
HD087141  |F5V         | 6312|  31| 3.90| 0.05| 0.04| 0.04
HD087344  |B8V         |11061| 232| 4.00| 0.07| 0.00| 0.11
HD087646  |G1IV        | 5866|  48| 4.27| 0.09| 0.26| 0.07
HD087737  |A0Ib        |10637| 159| 2.07| 0.05|-0.07| 0.10
HD087822  |F4V         | 6486|  43| 4.06| 0.06| 0.06| 0.05
HD087901  |B7V         |12862| 220| 4.05| 0.09| 0.21| 0.09
HD088195  |A1V         | 9232| 302| 3.07| 0.17|-0.47| 0.25
HD088284  |K0III       | 4940|  34| 2.94| 0.09| 0.22| 0.07
HD088355  |F7V         | 6392|  44| 4.09| 0.07| 0.01| 0.05
HD088609  |G5IIIw      | 4749|  42| 1.63| 0.14|-2.48| 0.08
HD088737  |F9V         | 6103|  35| 3.88| 0.07| 0.19| 0.05
HD088983  |A8III       | 7957|  53| 3.87| 0.06|-0.20| 0.06
HD088986  |G0V         | 5787|  32| 4.06| 0.06| 0.02| 0.05
HD089010  |G1.5IV-V    | 5717|  36| 3.90| 0.08| 0.02| 0.06
HD089025  |F0III       | 7153|  37| 3.59| 0.05| 0.19| 0.04
HD089125  |F8Vbw       | 6159|  33| 4.25| 0.05|-0.37| 0.05
HD089254  |F2III       | 7122|  78| 3.79| 0.10| 0.36| 0.08
HD089449  |F6IV        | 6426|  34| 4.10| 0.05| 0.06| 0.04
HD089484  |K1IIIb      | 4566|  22| 1.98| 0.08|-0.48| 0.05
HD089490  |K0          | 5148|  31| 3.34| 0.07| 0.06| 0.06
HD089707  |G1V         | 5959|  37| 4.30| 0.06|-0.46| 0.07
HD089744  |F7V         | 6155|  32| 3.95| 0.06| 0.15| 0.04
HD089822  |A0sp...     |10286| 134| 3.96| 0.06| 0.13| 0.08
HD090250  |K1III       | 4726|  24| 2.61| 0.08|-0.01| 0.05
HD090277  |F0V         | 7292|  36| 3.82| 0.04| 0.19| 0.04
HD090508  |F9V         | 5790|  32| 4.33| 0.06|-0.33| 0.06
HD091190  |K0III       | 5039|  29| 2.78| 0.07| 0.00| 0.06
HD091204  |G0          | 5842|  43| 4.12| 0.08| 0.19| 0.06
HD091752  |F3V         | 6524|  28| 4.11| 0.04|-0.15| 0.04
HD091889  |F7V         | 6111|  31| 4.15| 0.05|-0.24| 0.05
HD092055  |CII...      | 3888| 100| 1.23| 0.94| 0.02| 0.35
HD092125  |G2.5IIa     | 5433|  25| 1.88| 0.06| 0.01| 0.06
HD092588  |K1IV        | 5116|  28| 3.67| 0.06|-0.03| 0.06
HD092769  |A4Vn        | 7902|  47| 3.98| 0.05|-0.20| 0.07
HD092839  |CII...      | 3826|  89| 1.09| 0.92| 0.14| 0.31
HD093487  |F8          | 5120|  35| 2.31| 0.10|-1.20| 0.09
HD093813  |K0/K1III    | 4371|  19| 2.13| 0.09|-0.18| 0.05
HD094247  |K3III       | 4233|  16| 1.86| 0.09|-0.19| 0.05
HD094264  |K0III       | 4731|  19| 2.82| 0.06|-0.12| 0.04
HD094280  |F8          | 6054|  33| 4.22| 0.06| 0.06| 0.05
HD094363  |K0III+...   | 5036|  26| 3.11| 0.07|-0.21| 0.06
HD094600  |K1III       | 4634|  20| 2.52| 0.07|-0.16| 0.05
HD094601  |A1V         | 9429| 153| 3.87| 0.08|-0.30| 0.11
HD094669  |K2III       | 4562|  22| 2.64| 0.08|-0.13| 0.05
HD095128  |G1V         | 5855|  29| 4.24| 0.06| 0.00| 0.04
HD095241  |F9V         | 5899|  30| 3.83| 0.06|-0.28| 0.05
HD095272  |K1III       | 4712|  24| 2.51| 0.08|-0.06| 0.05
HD095345  |K1III       | 4559|  24| 2.17| 0.09|-0.15| 0.06
HD095418  |A1V         | 9370| 133| 3.85| 0.07|-0.03| 0.07
HD095849  |K3III       | 4501|  29| 2.40| 0.11| 0.17| 0.06
HD096436  |G9IIICN...  | 4792|  27| 2.85| 0.09|-0.46| 0.06
HD096833  |K1III       | 4621|  22| 2.33| 0.07|-0.02| 0.05
HD097603  |A4V         | 8141|  57| 3.84| 0.07|-0.18| 0.07
HD097633  |A2V         | 9154| 130| 3.25| 0.09|-0.25| 0.10
HD097907  |K3III       | 4368|  18| 2.21| 0.09|-0.05| 0.05
HD098231  |G0V         | 5927|  25| 4.34| 0.05|-0.29| 0.04
HD098430  |K0III       | 4610|  30| 2.09| 0.11|-0.44| 0.07
HD098553  |G2/G3V      | 5867|  54| 4.36| 0.09|-0.48| 0.10
HD098744  |G0          | 6191|  49| 4.06| 0.08|-0.26| 0.07
HD098824  |K1III       | 4776|  21| 2.61| 0.06| 0.01| 0.05
HD098991  |F3IV        | 6600|  37| 3.93| 0.05|-0.02| 0.04
HD099028  |F4IV        | 6739|  36| 3.96| 0.05| 0.19| 0.04
HD099167  |K5III       | 3819|   7| 1.76| 0.10|-0.08| 0.04
HD099491  |K0IV        | 5470|  29| 4.39| 0.06| 0.38| 0.05
HD099747  |F5Vawvar    | 6667|  31| 4.19| 0.03|-0.48| 0.04
HD099998  |K3.5III     | 3991|  12| 1.61| 0.11|-0.26| 0.05
HD100006  |K0III       | 4719|  22| 2.51| 0.07|-0.20| 0.05
HD100030  |G9IV        | 4977|  23| 2.95| 0.06|-0.40| 0.05
HD100446  |F8          | 6087|  37| 4.22| 0.06|-0.45| 0.06
HD100470  |K0III       | 4714|  23| 2.58| 0.08|-0.17| 0.05
HD100563  |F5V         | 6404|  57| 4.22| 0.08| 0.04| 0.07
HD100696  |K0III       | 4896|  26| 2.50| 0.08|-0.34| 0.06
HD100889  |B9.5Vn      |10563| 116| 3.83| 0.07|-0.27| 0.07
HD100920  |G9III       | 4877|  23| 2.55| 0.07|-0.20| 0.05
HD101484  |K0III       | 4919|  29| 2.80| 0.08| 0.02| 0.06
HD101501  |G8V         | 5586|  27| 4.60| 0.05| 0.03| 0.05
HD101673  |K3III       | 4376|  24| 1.97| 0.10|-0.13| 0.06
HD101676  |F6V         | 6197|  38| 4.14| 0.06|-0.43| 0.06
HD102070  |G8III       | 5028|  30| 2.57| 0.08| 0.03| 0.07
HD102212  |M1III       | 3738|   6| 1.55| 0.10|-0.41| 0.05
HD102224  |K0.5IIIb    | 4462|  20| 2.05| 0.08|-0.38| 0.05
HD102328  |K3III       | 4389|  21| 2.59| 0.10| 0.30| 0.05
HD102574  |F7V         | 5973|  34| 3.89| 0.06| 0.18| 0.05
HD102634  |F7V         | 6210|  34| 4.10| 0.06| 0.16| 0.04
HD102870  |F9V         | 6071|  30| 4.05| 0.06| 0.13| 0.04
HD103047  |K0          | 5000|  26| 3.38| 0.06| 0.06| 0.05
HD103287  |A0V         | 9361| 139| 3.85| 0.07|-0.44| 0.09
HD104304  |G9IV        | 5546|  32| 4.33| 0.06| 0.31| 0.05
HD104783  |G5III       | 5103|  91| 2.63| 0.25|-0.68| 0.22
HD104979  |G8IIIa      | 4818|  32| 1.98| 0.10|-0.58| 0.08
HD104985  |G9III       | 4713|  25| 2.47| 0.09|-0.33| 0.06
HD105043  |K2III       | 4399|  21| 2.43| 0.09|-0.22| 0.05
HD105262  |B9          | 8855|    | 1.82|     |-1.61|
HD105546  |G2IIIw      | 5106|  45| 2.30| 0.13|-1.48| 0.11
HD105755  |G0Vw        | 5788|  76| 4.08| 0.15|-0.66| 0.14
HD105944  |G7III       | 4995|  45| 2.39| 0.13|-0.70| 0.11
HD106365  |K2III       | 4630|  74| 2.71| 0.25|-0.01| 0.16
HD106516  |F5V         | 6173|  28| 4.31| 0.04|-0.73| 0.05
HD106591  |A3V         | 8564| 119| 3.83| 0.14|-0.35| 0.15
HD106714  |G8III       | 4928|  36| 2.56| 0.10|-0.22| 0.08
HD107113  |F4V         | 6456|  43| 4.19| 0.05|-0.45| 0.06
HD107213  |F8Vs        | 6170|  48| 3.96| 0.09| 0.20| 0.06
HD107259  |A2IV        | 8756|  77| 3.54| 0.09|-0.17| 0.06
HD107328  |K0IIIb      | 4420|  24| 2.10| 0.10|-0.39| 0.06
HD107383  |G8III       | 4806|  34| 2.44| 0.11|-0.36| 0.08
HD107418  |K0III       | 4753|  23| 2.77| 0.07|-0.03| 0.05
HD107752  |G5          | 4868|  50| 1.90| 0.15|-2.47| 0.10
HD107950  |G6III       | 5176|  30| 2.48| 0.07|-0.02| 0.07
HD108225  |G9III       | 5060|  26| 2.85| 0.07| 0.08| 0.06
HD108317  |G0          | 5114|  40| 2.46| 0.12|-2.27| 0.09
HD108381  |K1III       | 4693|  24| 2.71| 0.08| 0.24| 0.05
HD108510  |G0          | 6008|  33| 4.37| 0.06| 0.01| 0.05
HD108954  |F9V         | 6028|  31| 4.35| 0.05|-0.12| 0.05
HD108985  |K5          | 3960|  11| 1.78| 0.11| 0.01| 0.04
HD109303  |F8          | 6057|  41| 4.08| 0.07|-0.57| 0.07
HD109317  |K0III       | 4862|  24| 2.61| 0.07|-0.08| 0.05
HD109345  |K0III       | 4772|  22| 2.55| 0.07|-0.09| 0.05
HD109358  |G0V         | 5879|  27| 4.34| 0.05|-0.24| 0.05
HD109387  |B6IIIpe     |15302|1016| 2.49| 0.16|-0.65| 0.36
HD109995  |A0p         | 8441|    | 3.18|     |-1.74|
HD110010  |G0          | 5904|  45| 4.26| 0.08| 0.33| 0.06
HD110014  |K2III       | 4495|  24| 2.47| 0.09| 0.30| 0.05
HD110184  |G5          | 4478|  39| 0.96| 0.13|-2.25| 0.08
HD110281  |K5          | 4130|  20| 0.46| 0.08|-1.38| 0.05
HD110679  |G5III       | 4994|  39| 2.51| 0.11|-0.67| 0.09
HD110897  |G0V         | 5844|  28| 4.29| 0.05|-0.57| 0.05
HD110930  |G7IIIw      | 5000|  40| 2.50| 0.11|-0.58| 0.10
HD111028  |K1III-IV    | 4803|  23| 3.19| 0.07|-0.15| 0.05
HD111335  |K5III       | 3875|   9| 1.47| 0.10|-0.05| 0.04
HD111591  |K0III       | 4843|  23| 2.77| 0.07|-0.19| 0.05
HD111721  |G6V         | 5072|  32| 2.66| 0.10|-1.30| 0.07
HD111765  |K4III:      | 4346|  16| 2.16| 0.08|-0.02| 0.04
HD111812  |G0IIIp      | 5771|  29| 3.20| 0.07| 0.02| 0.05
HD112030  |G7III       | 4972|  27| 2.51| 0.08|-0.48| 0.06
HD112127  |K2.5III     | 4447|  27| 2.58| 0.11| 0.30| 0.06
HD112142  |M3III       | 3525|   8| 1.05| 0.16|-0.10| 0.06
HD112300  |M3III       | 3445|   6| 1.05| 0.13|-0.03| 0.05
HD113022  |F6Vs        | 6441|  27| 4.11| 0.04| 0.07| 0.03
HD113092  |K2III       | 4272|  20| 1.50| 0.10|-0.72| 0.06
HD113095  |K0III       | 4952|  28| 2.66| 0.08|-0.09| 0.06
HD113226  |G8III       | 5126|  29| 2.82| 0.07| 0.13| 0.06
HD113436  |A3Vn        | 8735| 115| 3.67| 0.16|-0.37| 0.15
HD113515  |G8III       | 4714|  29| 2.39| 0.10|-0.60| 0.07
HD113847  |K1III       | 4560|  22| 2.31| 0.08|-0.12| 0.05
HD113848  |F4V         | 6680|  31| 4.17| 0.04|-0.22| 0.04
HD113994  |G7III       | 4785|  27| 2.59| 0.09|-0.38| 0.06
HD113996  |K5III       | 3998|  11| 1.90| 0.11|-0.05| 0.04
HD114038  |K1III       | 4621|  21| 2.48| 0.07| 0.02| 0.05
HD114092  |K4III       | 4199|  16| 2.42| 0.10| 0.21| 0.05
HD114113  |K3III       | 4507|  23| 2.41| 0.09|-0.10| 0.05
HD114203  |K0          | 4869|  28| 2.63| 0.08|-0.13| 0.06
HD114256  |K0III       | 4834|  26| 2.66| 0.08| 0.01| 0.06
HD114287  |K5III       | 3992|  12| 1.90| 0.12| 0.06| 0.04
HD114330  |A1IVs+...   | 9550| 130| 3.85| 0.07|-0.23| 0.07
HD114357  |K3III       | 4426|  21| 2.65| 0.09| 0.14| 0.05
HD114642  |F6V         | 6401|  30| 4.04| 0.04|-0.12| 0.04
HD114710  |F9.5V       | 6004|  29| 4.36| 0.05| 0.03| 0.04
HD114946  |G8III/IV    | 5060|  26| 3.23| 0.07|-0.37| 0.06
HD114961  |M7III       | 3080|  19| 0.36| 0.44|-1.00| 0.00
HD115004  |K0III       | 4905|  24| 2.37| 0.06| 0.09| 0.05
HD115061  |K0          | 4559|  21| 2.74| 0.08|-0.02| 0.05
HD115136  |K2III       | 4611|  22| 2.59| 0.07| 0.03| 0.05
HD115202  |K1III       | 4791|  23| 3.19| 0.07|-0.06| 0.05
HD115383  |G0Vs        | 6024|  32| 4.26| 0.06| 0.15| 0.04
HD115444  |K0          | 4874|  46| 1.91| 0.14|-2.52| 0.10
HD115539  |G8III-IV    | 4902|  24| 2.48| 0.07|-0.43| 0.06
HD115589  |G8IV        | 5228|  74| 4.42| 0.14| 0.25| 0.13
HD115604  |F3III       | 7176|  47| 3.61| 0.07| 0.54| 0.04
HD115617  |G5V         | 5598|  32| 4.46| 0.06| 0.01| 0.05
HD116292  |K0III       | 4955|  25| 2.68| 0.07|-0.07| 0.06
HD116656  |A2V         | 9135| 139| 3.89| 0.07|-0.03| 0.08
HD116658  |B1III-IV+...|15073|1892| 3.60| 0.22|-0.01| 0.07
HD116976  |K1IIICN     | 4796|  28| 2.63| 0.08| 0.20| 0.06
HD117176  |G5V         | 5502|  30| 3.89| 0.07|-0.10| 0.05
HD117243  |G5III       | 5855|  34| 4.16| 0.07| 0.24| 0.05
HD117818  |K0III       | 4904|  24| 2.53| 0.07|-0.32| 0.06
HD117876  |G8III       | 4766|  29| 2.50| 0.10|-0.46| 0.07
HD118055  |K0w...      | 4380|  27| 0.78| 0.10|-1.86| 0.07
HD118098  |A3V         | 8347|  77| 3.93| 0.09|-0.26| 0.10
HD118100  |K5Ve        | 4239|  25| 4.53| 0.07|-0.17| 0.08
HD118244  |F5V         | 6343|  43| 4.21| 0.05|-0.50| 0.06
HD118266  |K1III+...   | 4746|  22| 2.76| 0.07|-0.13| 0.05
HD119516  |G5          | 5315|  52| 2.62| 0.15|-1.84| 0.13
HD120136  |F6IV        | 6318|  33| 4.15| 0.05| 0.20| 0.04
HD120164  |K0III+...   | 4797|  22| 2.58| 0.07|-0.10| 0.05
HD120315  |B3V         |17291| 336| 3.86| 0.08|-0.14| 0.07
HD120348  |K1III       | 4659|  20| 2.44| 0.07|-0.17| 0.05
HD120452  |K0III       | 4821|  26| 2.65| 0.08| 0.01| 0.06
HD120933  |K5III       | 3509|   6| 1.01| 0.11|-0.11| 0.04
HD121146  |K2IV        | 4385|  20| 2.70| 0.08|-0.08| 0.05
HD121299  |K2III       | 4756|  24| 2.66| 0.07| 0.13| 0.05
HD121370  |G0IV        | 5998|  34| 3.82| 0.07| 0.28| 0.05
HD121560  |F6V         | 6133|  30| 4.27| 0.05|-0.41| 0.05
HD122408  |A3V         | 8308|  59| 3.80| 0.07|-0.27| 0.08
HD122563  |F8IV        | 4755|  34| 1.62| 0.11|-2.37| 0.07
HD122956  |G6IV/Vw...  | 4594|  36| 1.23| 0.12|-1.85| 0.09
HD123299  |A0III       |10307| 175| 3.90| 0.07|-0.14| 0.09
HD123657  |M4.5:III    | 3235|   8| 0.48| 0.15|-0.20| 0.08
HD123934  |M1III       | 3680|   8| 1.30| 0.15|-0.23| 0.06
HD123977  |K0III       | 4799|  25| 2.51| 0.08|-0.24| 0.06
HD124186  |K4III       | 4404|  19| 2.58| 0.08| 0.29| 0.04
HD124244  |G5          | 5782|  39| 4.02| 0.08| 0.07| 0.06
HD124547  |K3III       | 4141|  16| 1.73| 0.10|-0.16| 0.05
HD124570  |F6IV        | 6114|  31| 3.95| 0.06| 0.10| 0.04
HD124850  |F7IV        | 6226|  29| 3.90| 0.05|-0.07| 0.04
HD124897  |K1.5III     | 4310|  26| 2.02| 0.13|-0.54| 0.08
HD125184  |G5IV        | 5611|  28| 3.97| 0.06| 0.26| 0.05
HD125451  |F5IV        | 6609|  42| 4.14| 0.05|-0.07| 0.05
HD125454  |G8III       | 4842|  23| 2.58| 0.07|-0.11| 0.05
HD125560  |K3III       | 4451|  21| 2.57| 0.08| 0.22| 0.05
HD126141  |F5V         | 6677|  29| 4.17| 0.03|-0.08| 0.04
HD126271  |K4III       | 4442|  22| 2.54| 0.09|-0.01| 0.05
HD126327  |M7.5        | 3088|  17| 0.30| 0.36|-1.00| 0.00
HD126661  |F0m         | 7613|  45| 3.47| 0.05| 0.36| 0.04
HD126681  |G3V         | 5631|  70| 4.38| 0.13|-1.12| 0.16
HD126778  |K0III       | 4847|  29| 2.47| 0.09|-0.50| 0.07
HD126868  |G2IV        | 5707|  49| 3.67| 0.11| 0.01| 0.08
HD127334  |G5V         | 5667|  31| 4.21| 0.06| 0.23| 0.05
HD127665  |K3III       | 4307|  18| 2.17| 0.09|-0.05| 0.05
HD128000  |K5III       | 3941|  12| 1.86| 0.12| 0.05| 0.05
HD128167  |F2V         | 6703|  26| 4.21| 0.03|-0.42| 0.04
HD128385  |F5          | 6192|  40| 4.19| 0.06|-0.24| 0.06
HD128750  |K2III:      | 4617|  21| 2.50| 0.08|-0.21| 0.05
HD128987  |G6V         | 5581|  29| 4.62| 0.05| 0.08| 0.05
HD129132  |G0V         | 6761|  45| 3.90| 0.06| 0.04| 0.05
